c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	rass_name1	rass_name2	rass_ra	rass_dec	rass_pos_err	rass_l	rass_b	rass_ML	rass_counts	rass_counts_err	rass_count_rate	rass_count_rate_err	rass_exp_time	rass_hardness_ratio	rass_HR2	rass_HR3	rass_HR4
1	0.7	52.2	0.5972	0.2634	1.1948	2.43E-13	8.60E-14	4.06E-13	1.07E-13	0.7149	0.3153	0.7815	2.11E-13	7.47E-14	2.94E-13	7.73E-14	104.639093	-56.126093	2.82	9961	12.3	10.7	1581.4	1576.1	10.4	6.35	2RXS	J065837.7-560811	104.65744	-56.13639	14.49	-21.28892	-77.49615	21.5	21.48	5.635564	0.0445	0.0117	482.62	0.245	0.199	-0.184	0.239
1	1.28	99.1	0.5019	0.2652	1.2099	2.78E-13	1.06E-13	5.53E-13	2.01E-13	0.4999	0.2642	1.2158	7.95E-15	3.04E-15	1.59E-14	5.79E-15	301.056644	-56.041666	2.61	3321	8.7	11	920.9	1019.1	18.95	4.53	2RXS	J200424.9-560258	301.10382	-56.04961	25.26	-32.26627	-34.81023	10.08	12.33	4.48844	0.0687	0.025	179.44	-1	0.146	0	0
1	0.36	27.2	0.3954	0.2576	1.243	3.49E-14	1.65E-14	8.83E-14	3.97E-14	0	0	0	0	0	0	0	62.791499	-56.010458	2.12	7030	11.6	8.3	7670.9	7897.4	12.81	1.96	2RXS	J041106.8-560044	62.77839	-56.01227	16.79	-44.30013	-73.43007	6.85	9.76	4.384351	0.0174	0.0078	560.19	9.999	9.999	9.999	9.999
1	0.84	27.2	1.0317	0.1845	0.1758	1.36E-12	1.21E-13	1.32E-12	2.05E-13	1.2641	0.226	1.3791	9.28E-13	8.23E-14	7.34E-13	1.14E-13	24.481458	-55.990893	11.28	4935	135.3	168.4	2320.2	2314.9	27.79	2.04	2RXS	J013756.0-555900	24.48348	-55.98343	12.22	-59.95468	-58.50676	84.62	48.37	7.511446	0.2545	0.0395	190.06	-0.441	0.111	0.441	0.216
1	2.12	118.1	0.6806	0.3789	0.6364	5.97E-14	1.96E-14	8.78E-14	3.94E-14	0	0	0	0	0	0	0	62.807566	-55.983808	3.04	7030	21.3	22.5	8208.3	8092.5	14.14	1.94	2RXS	J041106.8-560044	62.77839	-56.01227	16.79	-44.30013	-73.43007	6.85	9.76	4.384351	0.0174	0.0078	560.19	9.999	9.999	9.999	9.999
1	1.4	49.6	0.8097	0.317	0.4978	2.22E-13	3.18E-14	2.74E-13	9.99E-14	0	0	0	0	0	0	0	72.906129	-55.950729	6.97	7456	70.1	86.7	7331.9	7451.4	16.7	1.99	2RXS	J045131.6-555656	72.88171	-55.94899	19.01	-38.81416	-76.66314	7.87	17.07	6.218505	0.0535	0.0195	318.72	1	0.437	-0.313	0.233
1	0.53	29	0.9861	0.4069	0.0339	1.48E-13	4.23E-14	1.50E-13	4.45E-14	0	0	0	0	0	0	0	96.894329	-55.949423	3.49	4676	24.7	24.7	5298.7	5759.2	20.21	7.23	2RXS	J062738.0-555652	96.90848	-55.94794	14.03	-25.43332	-78.8954	15.72	20.74	6.157976	0.0158	0.0047	1311.93	-1	0.451	1	2.372
1	0.18	5.8	0.6562	0.0726	3.6772	2.44E-12	1.91E-13	3.72E-12	2.90E-13	0.5578	0.0617	4.9418	2.36E-12	1.85E-13	4.23E-12	3.30E-13	104.625867	-55.948253	12.75	9961	176.6	284.2	2259.4	2182.5	0.38	6.35	2RXS	J065830.5-555658	104.62749	-55.94959	11.03	-21.24924	-77.33816	186.35	191	14.909318	0.407	0.0318	469.25	0.857	0.04	0.321	0.06
1	0.54	31.1	0.7795	0.3986	0.4658	3.09E-13	9.55E-14	3.97E-13	1.62E-13	0	0	0	0	0	0	0	300.880809	-55.944466	3.24	3321	14.8	13.7	1402.2	1408.7	14.67	4.48	2RXS	J200327.7-555642	300.86542	-55.94521	22.55	-32.12987	-34.6759	8	9.05	3.689775	0.0495	0.0202	182.65	1	0.644	0.568	0.367
1	0.48	25.4	0.713	0.264	0.9539	4.47E-13	1.37E-13	6.27E-13	1.29E-13	0.9305	0.3445	0.197	3.58E-13	1.10E-13	3.85E-13	7.92E-14	103.723219	-55.887304	3.25	9961	14.5	18.6	1017.3	960.8	30.86	6.58	2RXS	J065456.5-555308	103.73548	-55.88571	7.07	-21.70847	-77.50471	47.6	32.09	6.605463	0.0679	0.014	472.66	0.079	0.16	0.391	0.214
1	2.4	181.5	0.9039	0.5361	0.1701	1.77E-13	7.47E-14	1.96E-13	8.17E-14	0	0	0	0	0	0	0	104.421299	-55.85821	2.37	9961	9.8	10	1727.5	1706.1	9.12	6.4	2RXS	J065723.9-554939	104.34978	-55.82773	20.02	-21.36176	-77.30015	8.19	10.03	4.180397	0.0214	0.0089	468.32	0.777	0.901	-1	0.615
1	0.51	15.4	0.6128	0.0246	10.5502	4.64E-12	9.44E-14	7.58E-12	2.62E-13	0.7	0.028	8.0344	3.89E-12	7.92E-14	5.56E-12	1.92E-13	73.383838	-55.856063	49.19	7456	2482.6	3311.4	12491.1	12094.9	0.38	2.03	2RXS	J045330.8-555133	73.37872	-55.85925	2.91	-38.55096	-76.72525	2211.39	902.73	31.165133	1.4625	0.0505	617.27	-0.263	0.026	0.11	0.044
1	0.41	18.5	2.6278	1.2424	2.2622	5.15E-13	1.15E-13	1.96E-13	8.18E-14	0	0	0	0	0	0	0	104.34273	-55.831008	4.48	9961	25.3	24.2	1533.2	1478.3	12.21	6.42	2RXS	J065723.9-554939	104.34978	-55.82773	20.02	-21.36176	-77.30015	8.19	10.03	4.180397	0.0214	0.0089	468.32	0.777	0.901	-1	0.615
1	0.51	30	1.9991	0.6324	1.8237	6.89E-13	1.78E-13	3.45E-13	6.29E-14	1.897	0.6001	1.7149	7.66E-13	1.98E-13	4.04E-13	7.37E-14	64.053996	-55.787686	3.87	5726	16.9	17.4	517.1	516	17.09	1.49	2RXS	J041611.1-554650	64.04628	-55.78058	24.45	-43.68945	-73.69729	35.17	42.45	7.746443	0.0806	0.0147	526.59	-0.039	0.126	-0.062	0.172
1	2.57	188.1	0.3578	0.1752	2.8426	1.68E-13	7.79E-14	4.68E-13	7.16E-14	0.3954	0.1936	2.5287	1.27E-13	5.90E-14	3.21E-13	4.90E-14	64.40254	-55.745589	2.15	5726	5.7	7.2	702.5	696.3	5.66	1.4	2RXS	J041749.7-554212	64.45718	-55.70337	6.25	-43.48893	-73.77927	79.75	57.04	8.717444	0.1137	0.0174	501.45	-0.454	0.1	0.475	0.202
