c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg
1,0.9,27.1,0.0028,0.0004,117.5684,6.159999999999999e-13,8.95e-14,2.23e-10,1.89e-12,0.0024,0.0004,117.6358,5.7e-13,8.27E-14,2.34E-10,1.98E-12,117.15786299999999,-67.74748100000001,6.89,7708,57.7,69.9,3048.7,3051.1,21.64,11.36,2RXS,J074833.9-674506,117.14161999999999,-67.75183,0.84,-19.8102,-79.48258,23694.53,14000.88,118.62561000000001,21.5717,0.1828,649.04,0.927,0.003,0.355,0.006,24,112.19, 2CXO J074814.5-674446, 07 48 14.55,-67 44 46.58,5.517e-16,2.605e-16,8.428e-16,3.433e-16,9.612e-17,5.767e-16,117.06062499999999,-67.74627222222222
1,0.9,27.1,0.0028,0.0004,117.5684,6.159999999999999e-13,8.95e-14,2.23e-10,1.89e-12,0.0024,0.0004,117.6358,5.7e-13,8.27E-14,2.34E-10,1.98E-12,117.15786299999999,-67.74748100000001,6.89,7708,57.7,69.9,3048.7,3051.1,21.64,11.36,2RXS,J074833.9-674506,117.14161999999999,-67.75183,0.84,-19.8102,-79.48258,23694.53,14000.88,118.62561000000001,21.5717,0.1828,649.04,0.927,0.003,0.355,0.006,24,118.06, 2CXO J074854.7-674459, 07 48 54.74,-67 44 59.44,8.071e-16,4.673e-16,1.147e-15,5.165e-16,2.361e-16,7.969e-16,117.22808333333332,-67.74984444444445
1,0.75,27.4,2.5386,0.8153,4.2860000000000005,9.23e-13,6.34e-14,3.6399999999999996e-13,1.1400000000000002e-13,1.7824,0.5724,2.3231,9.719999999999999e-13,6.68E-14,5.45E-13,1.71E-13,49.595328,-66.599574,14.55,7044,235.5,263.3,7257.7,7376.9,6.19,3.94,2RXS,J031818.2-663559,49.5762,-66.5999,20.46,-44.572520000000004,-74.21427,14.35,16.07,5.041567,0.0482,0.0151,333.7,1.0,0.17800000000000002,0.63,0.155,27,24.2, 2CXO J031822.2-663603, 03 18 22.30,-66 36 03.46,6.189e-13,6.051e-13,6.319e-13,3.385e-13,3.288e-13,3.476e-13,49.59291666666666,-66.6009611111111
1,0.75,27.4,2.5386,0.8153,4.2860000000000005,9.23e-13,6.34e-14,3.6399999999999996e-13,1.1400000000000002e-13,1.7824,0.5724,2.3231,9.719999999999999e-13,6.68E-14,5.45E-13,1.71E-13,49.595328,-66.599574,14.55,7044,235.5,263.3,7257.7,7376.9,6.19,3.94,2RXS,J031818.2-663559,49.5762,-66.5999,20.46,-44.572520000000004,-74.21427,14.35,16.07,5.041567,0.0482,0.0151,333.7,1.0,0.17800000000000002,0.63,0.155,27,27.89, 2CXO J031819.6-663626, 03 18 19.68,-66 36 26.27,0.000e+00,0.000e+00,4.817e-16,0.000e+00,0.000e+00,3.847e-16,49.58199999999999,-66.60729722222221
1,0.75,27.4,2.5386,0.8153,4.2860000000000005,9.23e-13,6.34e-14,3.6399999999999996e-13,1.1400000000000002e-13,1.7824,0.5724,2.3231,9.719999999999999e-13,6.68E-14,5.45E-13,1.71E-13,49.595328,-66.599574,14.55,7044,235.5,263.3,7257.7,7376.9,6.19,3.94,2RXS,J031818.2-663559,49.5762,-66.5999,20.46,-44.572520000000004,-74.21427,14.35,16.07,5.041567,0.0482,0.0151,333.7,1.0,0.17800000000000002,0.63,0.155,27,49.44, 2CXO J031810.1-663550, 03 18 10.13,-66 35 50.49,0.000e+00,0.000e+00,4.779e-16,0.000e+00,0.000e+00,2.087e-16,49.54220833333333,-66.59735833333333
1,0.75,27.4,2.5386,0.8153,4.2860000000000005,9.23e-13,6.34e-14,3.6399999999999996e-13,1.1400000000000002e-13,1.7824,0.5724,2.3231,9.719999999999999e-13,6.68E-14,5.45E-13,1.71E-13,49.595328,-66.599574,14.55,7044,235.5,263.3,7257.7,7376.9,6.19,3.94,2RXS,J031818.2-663559,49.5762,-66.5999,20.46,-44.572520000000004,-74.21427,14.35,16.07,5.041567,0.0482,0.0151,333.7,1.0,0.17800000000000002,0.63,0.155,27,55.21, 2CXO J031825.2-663636, 03 18 25.24,-66 36 36.16,3.053e-15,2.289e-15,3.778e-15,4.344e-16,1.086e-16,7.602e-16,49.60516666666666,-66.61004444444444
1,0.75,27.4,2.5386,0.8153,4.2860000000000005,9.23e-13,6.34e-14,3.6399999999999996e-13,1.1400000000000002e-13,1.7824,0.5724,2.3231,9.719999999999999e-13,6.68E-14,5.45E-13,1.71E-13,49.595328,-66.599574,14.55,7044,235.5,263.3,7257.7,7376.9,6.19,3.94,2RXS,J031818.2-663559,49.5762,-66.5999,20.46,-44.572520000000004,-74.21427,14.35,16.07,5.041567,0.0482,0.0151,333.7,1.0,0.17800000000000002,0.63,0.155,27,64.97, 2CXO J031814.8-663457, 03 18 14.88,-66 34 57.92,6.116e-16,1.529e-16,1.040e-15,0.000e+00,0.000e+00,2.912e-16,49.56199999999999,-66.58275555555555
1,0.75,27.4,2.5386,0.8153,4.2860000000000005,9.23e-13,6.34e-14,3.6399999999999996e-13,1.1400000000000002e-13,1.7824,0.5724,2.3231,9.719999999999999e-13,6.68E-14,5.45E-13,1.71E-13,49.595328,-66.599574,14.55,7044,235.5,263.3,7257.7,7376.9,6.19,3.94,2RXS,J031818.2-663559,49.5762,-66.5999,20.46,-44.572520000000004,-74.21427,14.35,16.07,5.041567,0.0482,0.0151,333.7,1.0,0.17800000000000002,0.63,0.155,27,69.85, 2CXO J031829.3-663537, 03 18 29.38,-66 35 37.08,3.465e-16,0.000e+00,6.930e-16,5.519e-15,4.239e-15,6.719e-15,49.62241666666666,-66.59363333333333
1,0.75,27.4,2.5386,0.8153,4.2860000000000005,9.23e-13,6.34e-14,3.6399999999999996e-13,1.1400000000000002e-13,1.7824,0.5724,2.3231,9.719999999999999e-13,6.68E-14,5.45E-13,1.71E-13,49.595328,-66.599574,14.55,7044,235.5,263.3,7257.7,7376.9,6.19,3.94,2RXS,J031818.2-663559,49.5762,-66.5999,20.46,-44.572520000000004,-74.21427,14.35,16.07,5.041567,0.0482,0.0151,333.7,1.0,0.17800000000000002,0.63,0.155,27,85.75, 2CXO J031817.9-663433, 03 18 17.98,-66 34 33.91,3.875e-16,1.937e-17,7.556e-16,0.000e+00,0.000e+00,8.253e-16,49.57491666666665,-66.57608611111111
1,0.75,27.4,2.5386,0.8153,4.2860000000000005,9.23e-13,6.34e-14,3.6399999999999996e-13,1.1400000000000002e-13,1.7824,0.5724,2.3231,9.719999999999999e-13,6.68E-14,5.45E-13,1.71E-13,49.595328,-66.599574,14.55,7044,235.5,263.3,7257.7,7376.9,6.19,3.94,2RXS,J031818.2-663559,49.5762,-66.5999,20.46,-44.572520000000004,-74.21427,14.35,16.07,5.041567,0.0482,0.0151,333.7,1.0,0.17800000000000002,0.63,0.155,27,109.04, 2CXO J031836.2-663620, 03 18 36.25,-66 36 20.79,8.458e-16,2.030e-16,1.455e-15,         ,         ,         ,49.65104166666666,-66.605775
