c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc
1,1.15,37.3,2.4754,0.5486,6.1945,2.0399999999999998e-12,7.85e-14,8.229999999999999e-13,1.8000000000000002e-13,2.9482,0.6534,7.918,1.4999999999999999e-12,5.80E-14,5.10E-13,1.11E-13,349.787578,-42.108238,25.95,6385,710.2,893.4,8097.2,8340.0,9.28,1.99,2RXS,J231906.6-420656,349.7778,-42.115629999999996,12.58,-65.94189,-34.258340000000004,43.06,25.07,5.471368,0.1607,0.0351,156.0,-0.384,0.17,0.491,0.31,167,11.57, 2CXO J231905.9-420648, 23 19 05.90,-42 06 48.45,2.373e-13,2.297e-13,2.450e-13,5.562e-13,5.391e-13,5.734e-13,349.7745833333333,-42.113458333333334,7.935e-13
1,0.79,33.4,0.9359,0.2463,0.251,8.149999999999999e-13,1.4599999999999998e-13,8.71e-13,1.6800000000000002e-13,1.0088,0.2655,0.0335,7.46e-13,1.33E-13,7.40E-13,1.43E-13,1.4560629999999999,-41.755703000000004,5.6,4247,34.5,43.8,946.1,911.3,15.46,1.78,2RXS,J000552.4-414520,1.46851,-41.75557,10.09,-72.6519,-38.21439,55.26,32.69,6.31754,0.1826,0.0353,179.02,-0.21600000000000003,0.15,-0.096,0.242,172,8.55, 2CXO J000552.6-414511, 00 05 52.64,-41 45 11.78,8.896e-14,8.021e-14,9.770e-14,7.907e-13,7.669e-13,8.145e-13,1.469333333333333,-41.75327222222222,8.796599999999999e-13
1,0.24,10.3,1.0858,0.3728,0.2407,2.9600000000000005e-13,6.64e-14,2.7300000000000005e-13,7.1e-14,0.0,0,0,0.0,0,0,0,17.864124,-38.083328,4.46,2663,24.8,32.6,1864.5,1899.5,3.48,1.76,2RXS,J011127.8-380508,17.86617,-38.0857,11.73,-78.26402,-41.452,23.12,22.09,5.7447989999999995,0.0576,0.015,383.49,0.375,0.233,0.341,0.248,199,8.58, 2CXO J011127.6-380500, 01 11 27.63,-38 05 00.47,7.074e-14,6.430e-14,7.678e-14,1.930e-13,1.836e-13,2.024e-13,17.865125,-38.08346388888889,2.6374e-13
1,0.75,24.8,1.5217,0.442,1.5698,1.07e-12,1.51e-13,7.049999999999999e-13,1.7899999999999997e-13,1.4278,0.4147,1.3206,1.01e-12,1.42E-13,7.06E-13,1.79E-13,285.507002,-37.125324,7.1,4512,56.3,64.7,1679.9,1683.6,15.09,7.93,2RXS,J190203.1-370748,285.51333999999997,-37.13001,13.89,-17.9446,-14.37306,28.0,18.62,4.729561,0.0726,0.0184,256.41,0.755,0.185,0.672,0.18,208,15.54, 2CXO J190201.9-370743, 19 02 01.96,-37 07 43.49,2.336e-13,2.242e-13,2.430e-13,7.387e-13,7.185e-13,7.590e-13,285.5081666666666,-37.12874722222222,9.723e-13
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,6.86, 2CXO J225710.0-362728, 22 57 10.03,-36 27 28.57,2.877e-16,1.247e-16,4.411e-16,3.678e-16,2.014e-16,5.341e-16,344.2917916666666,-36.45793611111112,6.555e-16
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,7.52, 2CXO J225710.3-362728, 22 57 10.35,-36 27 28.84,5.767e-16,3.295e-16,8.121e-16,3.170e-16,1.457e-16,4.798e-16,344.2931249999999,-36.45801111111111,8.937e-16
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,8.35, 2CXO J225709.3-362737, 22 57 09.37,-36 27 37.16,3.805e-16,1.951e-16,5.658e-16,2.090e-16,6.485e-17,3.531e-16,344.2890416666666,-36.460322222222224,5.895e-16
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,8.54, 2CXO J225710.3-362743, 22 57 10.35,-36 27 43.14,3.223e-15,2.642e-15,3.803e-15,3.425e-15,2.844e-15,3.972e-15,344.2931249999999,-36.461983333333336,6.648e-15
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,11.0, 2CXO J225710.6-362744, 22 57 10.61,-36 27 44.12,1.689e-13,1.648e-13,1.727e-13,1.363e-13,1.332e-13,1.393e-13,344.2942083333333,-36.46225555555556,3.052e-13
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,13.62, 2CXO J225710.8-362744, 22 57 10.87,-36 27 44.76,3.626e-15,3.015e-15,4.237e-15,4.181e-15,3.560e-15,4.766e-15,344.2952916666666,-36.46243333333334,7.807000000000001e-15
