c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc,rass_csc_flux_ratio
1,0.49,22.0,1.9053,0.8442,1.632,1.3800000000000002e-13,2.84e-14,7.26e-14,2.85e-14,0.0,0,0,0.0,0,0,0,202.54511000000002,30.726307000000002,4.86,491,34.0,50.1,4787.8,4901.1,18.11,1.16,2RXS,J133009.4+304347,202.53925,30.72975,19.08,80.79883000000001,36.861909999999995,7.58,12.98,5.093767,0.0196,0.0077,662.49,-0.608,0.426,-0.047,1.264,1845,14.42, 2CXO J133008.3+304351, 13 30 08.36,+30 43 51.66,1.801e-15,9.904e-16,2.566e-15,1.990e-15,1.072e-15,2.908e-15,202.53483333333332,30.731016666666665,3.791e-15,19.15061988921129
1,0.82,25.0,0.4698,0.0527,7.2627,1.16e-12,1.1199999999999999e-13,2.4700000000000006e-12,1.4099999999999998e-13,0.3991,0.0448,8.7106,1.48e-12,1.43E-13,3.72E-12,2.13E-13,183.777264,33.187102,10.36,3922,113.0,160.8,1863.5,1777.9,0.84,1.09,2RXS,J121505.7+331136,183.77385,33.19342,4.92,80.08294000000001,31.614409999999996,772.8,338.53,19.370573,0.6879,0.0394,492.09,0.033,0.045,0.127,0.061,1926,6.31, 2CXO J121506.1+331133, 12 15 06.19,+33 11 33.84,8.520e-16,5.173e-16,1.187e-15,1.595e-15,1.136e-15,2.028e-15,183.77579166666666,33.19273333333333,2.447e-15,1009.3992644053945
1,1.03,58.9,1.2954,0.6232,0.5415,4.560000000000001e-13,1.4300000000000002e-13,3.52e-13,1.29e-13,0.0,0,0,0.0,0,0,0,132.920752,33.522104,3.2,3921,12.0,15.7,701.3,697.8,13.95,3.09,2RXS,J085138.2+333031,132.90929,33.50881,21.18,38.5596,15.282960000000001,9.28,14.29,5.227058,0.0529,0.0193,270.2,0.45399999999999996,0.207,0.336,0.226,1941,32.67, 2CXO J085136.4+333056, 08 51 36.49,+33 30 56.11,9.517e-16,2.284e-16,1.675e-15,1.632e-15,7.462e-16,2.518e-15,132.90204166666663,33.51558611111111,2.5837e-15,136.23872740643264
1,0.49,37.6,0.3833,0.2186,1.3659999999999999,7.63e-14,2.88e-14,1.9899999999999999e-13,8.51e-14,0.0,0,0,0.0,0,0,0,167.74288,35.664916999999996,2.65,3122,12.7,9.3,3831.2,3764.7,6.71,1.94,2RXS,J111101.3+353948,167.75557,35.663340000000005,21.13,67.0174,27.799020000000002,8.19,9.17,3.9217699999999995,0.0395,0.0169,232.03,-0.652,0.27,1.0,0.7,2003,19.27, 2CXO J111102.7+353939, 11 11 02.77,+35 39 39.85,1.439e-15,6.103e-16,2.267e-15,1.253e-15,1.979e-16,2.243e-15,167.76154166666663,35.66106944444444,2.692e-15,73.92273402674591
1,0.9,32.0,0.9561,0.1792,0.2381,1.01e-12,1.18e-13,1.06e-12,1.56e-13,0.853,0.1599,0.8293,9.520000000000002e-13,1.11E-13,1.12E-12,1.64E-13,328.961619,37.994739,8.58,2695,81.0,104.7,2550.3,2567.9,0.84,20.46,2RXS,J215552.8+380001,328.97033999999996,38.00039,19.02,-12.984960000000001,46.58892,50.31,61.46,9.022049,0.0985,0.0145,623.96,1.0,0.051,0.551,0.08199999999999999,2035,27.94, 2CXO J215552.2+380028, 21 55 52.27,+38 00 28.38,1.743e-15,1.425e-15,2.042e-15,1.091e-15,8.702e-16,1.312e-15,328.96779166666664,38.00788333333333,2.834e-15,374.0296400846859
1,0.75,22.8,1.1462,0.1232,1.3319,1.26e-12,4.97e-14,1.1e-12,1.1e-13,1.1403,0.1226,1.2793,1.29e-12,5.07E-14,1.13E-12,1.13E-13,141.768105,39.043334,25.39,554,691.3,854.3,11400.4,11093.1,0.38,1.43,2RXS,J092702.8+390221,141.76186,39.03927,5.33,46.16318,22.74646,216.01,119.89,11.993789,0.2638,0.0264,454.42,-0.17300000000000001,0.076,0.335,0.11199999999999999,2054,8.16, 2CXO J092702.2+390225, 09 27 02.25,+39 02 25.58,6.166e-16,2.681e-17,1.206e-15,4.363e-16,0.000e+00,8.969e-16,141.75937499999998,39.040438888888886,1.0529e-15,1044.733592933802
1,0.53,22.2,1.3334,0.3521,1.0969,4.78e-13,8.16e-14,3.59e-13,7.23e-14,0.9538,0.2519,0.1784,6.65e-13,1.13E-13,6.97E-13,1.41E-13,187.052414,44.112431,5.86,2123,38.9,50.9,1714.3,1741.5,1.36,1.49,2RXS,J122814.0+440629,187.0585,44.10807,10.04,72.38937,42.35152,34.75,38.33,7.725408,0.0839,0.0169,456.78,0.528,0.11800000000000001,0.087,0.11900000000000001,2140,19.19, 2CXO J122813.2+440646, 12 28 13.29,+44 06 46.45,3.859e-16,2.300e-16,5.343e-16,1.424e-16,1.709e-17,2.621e-16,187.05537499999997,44.11290277777778,5.283e-16,679.5381412076471
1,0.71,23.4,0.7499,0.1258,1.7644,9.13e-13,1.24e-13,1.22e-12,1.2e-13,0.6196,0.104,2.9333,8.82e-13,1.20E-13,1.42E-12,1.41E-13,281.015901,45.553975,7.37,2693,66.4,87.8,2268.0,2183.5,0.38,6.32,2RXS,J184401.9+453327,281.00824,45.55766,14.25,20.22334,68.1924,111.97,142.3,14.048559,0.1335,0.0132,1065.71,0.9,0.051,0.37,0.066,2157,4.56, 2CXO J184402.3+453329, 18 44 02.36,+45 33 29.68,1.449e-14,1.278e-14,1.607e-14,2.128e-14,1.888e-14,2.369e-14,281.00983333333335,45.55824444444444,3.5769999999999996e-14,34.10679340229243
1,1.15,50.1,1.5335,0.3241,1.8195,9.520000000000002e-13,1.66e-13,6.210000000000001e-13,7.37e-14,1.3031,0.2754,1.1797,1.16e-12,2.03E-13,8.91E-13,1.06E-13,209.971161,62.510518000000005,5.72,7304,36.2,42.6,872.6,842.9,20.4,1.92,2RXS,J135948.6+623117,209.9529,62.52158000000001,15.08,52.849669999999996,64.90629,61.9,105.41,12.519422,0.124,0.0147,850.12,0.342,0.084,0.318,0.091,2413,17.81, 2CXO J135950.5+623105, 13 59 50.55,+62 31 05.33,1.280e-14,1.156e-14,1.405e-14,2.120e-14,1.989e-14,2.251e-14,209.96062499999996,62.51814722222222,3.4e-14,18.264705882352942
1,0.52,27.8,1.4773,0.42,1.1558,8.420000000000001e-13,2.3199999999999997e-13,5.7e-13,4e-14,1.2398,0.3525,0.6877,9.49e-13,2.61E-13,7.65E-13,5.37E-14,263.752524,64.103701,3.63,8833,15.8,16.2,493.2,498.0,13.29,2.94,2RXS,J173504.5+640603,263.7691,64.10099,8.64,32.50165,86.42336999999999,185.44,325.53,22.848471,0.08800000000000001,0.0062,3699.73,0.591,0.046,0.331,0.047,2460,3.16, 2CXO J173504.7+640606, 17 35 04.78,+64 06 06.44,5.156e-15,3.976e-15,6.274e-15,7.912e-15,6.294e-15,9.441e-15,263.76991666666663,64.10178888888888,1.3068000000000002e-14,43.617998163452704
1,0.39,11.8,0.363,0.0231,11.9546,3.0800000000000002e-12,1.1599999999999999e-13,8.49e-12,4.3700000000000006e-13,0.2938,0.0187,13.4069,3.22e-12,1.21E-13,1.09E-11,5.64E-13,148.88663799999998,69.06730300000001,26.64,2102,754.5,933.7,7076.1,7109.8,0.84,4.22,2RXS,J095532.7+690350,148.88626000000002,69.06403,2.06,40.90012,51.57877,1373.13,395.18,20.355703,1.0891,0.0561,362.83,0.805,0.026000000000000002,0.16899999999999998,0.042,2640,2.46, 2CXO J095532.6+690352, 09 55 32.68,+69 03 52.97,2.067e-14,1.937e-14,2.197e-14,2.510e-14,2.359e-14,2.660e-14,148.88616666666664,69.06471388888889,4.577e-14,185.49268079528076
1,0.2,10.9,1.5035,0.4056,1.2796,7.82e-13,2e-13,5.2e-13,4.57e-14,1.3517,0.3647,0.9884,7.609999999999999e-13,1.94E-13,5.63E-13,4.94E-14,277.264282,69.22708100000001,3.92,8649,18.4,19.1,727.4,744.8,13.03,5.98,2RXS,J182904.3+691347,277.26791000000003,69.22981,9.43,27.20004,86.18304,119.26,213.1,18.704401,0.0581,0.0051,3667.22,0.7490000000000001,0.066,0.314,0.061,2648,8.52, 2CXO J182904.8+691355, 18 29 04.83,+69 13 55.35,3.662e-15,2.947e-15,4.332e-15,2.884e-15,2.115e-15,3.653e-15,277.27012499999995,69.23204166666667,6.546e-15,79.43782462572563
1,0.73,39.7,1.1636,0.6604,0.2729,1.83e-13,5.93e-14,1.5699999999999999e-13,7.3e-14,0.0,0,0,0.0,0,0,0,110.205871,71.162053,3.08,5120,14.8,15.5,2299.3,2283.0,12.05,3.89,2RXS,J072051.4+710904,110.21453000000001,71.15139,10.53,27.92653,48.39055,8.18,9.31,4.334316,0.0209,0.0097,445.37,0.6779999999999999,0.221,-0.256,0.19899999999999998,2710,12.99, 2CXO J072053.9+710859, 07 20 53.92,+71 08 59.58,8.870e-17,0.000e+00,1.774e-16,6.900e-16,4.738e-16,8.960e-16,110.22466666666665,71.14988333333334,7.787e-16,201.6180814177475
