c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,18.5, 2CXO J225710.2-362753, 22 57 10.28,-36 27 53.71,1.388e-15,1.041e-15,1.735e-15,1.254e-15,9.304e-16,1.578e-15,344.2928333333333,-36.46491944444445,2.642e-15
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,23.37, 2CXO J225710.9-362714, 22 57 10.95,-36 27 14.74,5.951e-16,3.613e-16,8.289e-16,8.325e-16,5.885e-16,1.076e-15,344.295625,-36.45409444444445,1.4276000000000002e-15
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,26.4, 2CXO J225709.8-362801, 22 57 09.85,-36 28 01.72,4.467e-16,2.397e-16,6.537e-16,5.565e-16,3.450e-16,7.569e-16,344.2910416666666,-36.46714444444444,1.0032e-15
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,28.27, 2CXO J225708.8-362759, 22 57 08.81,-36 27 59.42,6.172e-16,3.779e-16,8.565e-16,6.443e-16,4.123e-16,8.762e-16,344.2867083333333,-36.46650555555556,1.2615e-15
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,29.33, 2CXO J225712.4-362739, 22 57 12.45,-36 27 39.85,7.133e-16,4.423e-16,9.701e-16,6.523e-16,4.228e-16,8.697e-16,344.30187499999994,-36.46106944444445,1.3656e-15
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,29.52, 2CXO J225707.9-362751, 22 57 07.99,-36 27 51.31,9.515e-16,6.343e-16,1.269e-15,6.414e-16,4.157e-16,8.553e-16,344.2832916666666,-36.46425277777778,1.5929e-15
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,30.85, 2CXO J225708.9-362803, 22 57 08.92,-36 28 03.08,4.516e-16,2.313e-16,6.610e-16,4.247e-16,2.370e-16,6.024e-16,344.2871666666666,-36.46752222222222,8.763e-16
1,0.91,31.3,0.7436,0.1935,1.0501,3.4999999999999997e-13,4.72e-14,4.71e-13,1.05e-13,0.0,0,0,0.0,0,0,0,344.298433,-36.466751,7.42,6674,68.4,73.2,3811.9,3734.7,0.38,1.17,2RXS,J225710.0-362735,344.29187,-36.45984,16.81,-64.10831,-27.29727,30.48,26.14,5.818674,0.1266,0.0282,206.49,1.0,0.209,0.337,0.17600000000000002,218,31.96, 2CXO J225712.3-362719, 22 57 12.36,-36 27 19.77,4.787e-16,2.452e-16,7.006e-16,3.294e-16,1.532e-16,5.055e-16,344.3015,-36.45549166666667,8.081e-16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1.32,55.9,0.924,0.2898,0.2453,4.24e-13,5.44e-14,4.59e-13,1.31e-13,0.0,0,0,0.0,0,0,0,53.410729,-36.146324,7.79,3059,73.5,97.7,3596.6,3386.7,1.13,1.42,2RXS,J033333.9-360851,53.39155,-36.14761,29.77,-54.60561,-53.03793,12.58,17.38,4.973483,0.1105,0.0316,157.28,0.22,0.23,0.222,0.251,226,18.05, 2CXO J033335.3-360858, 03 33 35.34,-36 08 58.63,3.082e-16,6.163e-17,5.424e-16,2.113e-16,2.756e-17,3.950e-16,53.39724999999999,-36.14961944444445,5.195000000000001e-16
