c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc,rass_csc_flux_ratio
1,0.63,46.8,1.4686,0.7366,0.7549,4.58e-13,1.56e-13,3.12e-13,1.15e-13,0.0,0,0,0.0,0,0,0,247.401046,-24.935254,2.94,3829,11.0,11.7,781.8,768.4,12.96,13.19,2RXS,J162934.1-245530,247.39217999999997,-24.92505,10.7,16.03004,-3.0752599999999997,14.22,10.97,4.042998000000001,0.0297,0.0109,369.69,1.0,0.281,-0.155,0.278,313,1.8, 2CXO J162933.9-245529, 16 29 34.00,-24 55 29.65,1.416e-13,1.265e-13,1.568e-13,1.866e-13,1.689e-13,2.032e-13,247.39166666666665,-24.924902777777778,3.282e-13,0.9506398537477148
1,1.24,39.1,2.7230000000000003,0.6874,5.1039,1.95e-12,1.7199999999999997e-13,7.15e-13,1.6899999999999999e-13,2.2523,0.5686,4.0497,1.8100000000000002e-12,1.60E-13,8.05E-13,1.90E-13,229.43060099999997,-24.370146,11.3,1998,137.1,188.1,2270.2,2223.6,0.38,8.73,2RXS,J151741.1-242237,229.42132999999998,-24.37697,9.95,27.57575,-5.94057,30.39,26.27,6.210819,0.0721,0.0171,364.19,0.975,0.121,0.18600000000000003,0.154,329,17.55, 2CXO J151740.8-242254, 15 17 40.88,-24 22 54.34,1.542e-15,7.708e-16,2.312e-15,3.655e-15,2.587e-15,4.724e-15,229.4203333333333,-24.38176111111111,5.197e-15,137.57937271502792
1,0.61,18.8,0.8614,0.1476,0.8223,1.85e-12,1.1400000000000002e-13,2.14e-12,3.43e-13,0.8228,0.141,1.0564,2.0399999999999998e-12,1.26E-13,2.48E-12,3.96E-13,347.197798,-22.335371,16.23,4292,278.4,352.6,3581.3,3567.7,13.97,2.13,2RXS,J230847.0-221949,347.19592,-22.33045,6.12,-66.24635,-15.48889,118.21,42.66,6.823098,0.4012,0.0642,106.33,0.16899999999999998,0.132,0.183,0.17,364,2.66, 2CXO J230846.8-221948, 23 08 46.85,-22 19 48.44,9.075e-13,8.564e-13,9.585e-13,1.309e-12,1.237e-12,1.377e-12,347.19520833333326,-22.330122222222222,2.2165e-12,0.9654861267764494
1,0.4,17.4,0.4803,0.1322,2.4169,4.29e-13,8.42e-14,8.94e-13,1.73e-13,0.3309,0.0911,3.2814,4.610000000000001e-13,9.04E-14,1.39E-12,2.69E-13,321.88056800000004,-21.904038,5.1,5648,32.6,54.2,2117.7,1957.6,32.93,3.64,2RXS,J212730.1-215407,321.87576,-21.90213,16.03,-43.62514,-6.56849,36.23,34.08,6.588494,0.1231,0.0238,276.89,1.0,0.122,0.154,0.14400000000000002,372,7.98, 2CXO J212729.6-215411, 21 27 29.66,-21 54 11.05,4.528e-14,2.264e-14,6.793e-14,7.268e-14,4.598e-14,9.937e-14,321.87358333333333,-21.903069444444444,1.1795999999999998e-13,7.578840284842321
1,0.7,22.4,0.2839,0.0683,3.7831,1.8899999999999998e-13,2.93e-14,6.65e-13,1.22e-13,0.4816,0.1159,2.6092,9.35e-14,1.45E-14,1.94E-13,3.57E-14,92.640799,-21.859253,6.45,10306,63.9,78.9,10915.1,10750.2,0.38,8.79,2RXS,J061034.3-215154,92.64321,-21.86506,11.18,-18.44008,-45.27237,48.15,40.33,7.424967,0.067,0.0123,601.85,-0.439,0.133,-1.0,0.192,373,7.05, 2CXO J061034.2-215201, 06 10 34.29,-21 52 01.18,7.659e-15,4.902e-15,1.026e-14,1.977e-13,1.658e-13,2.296e-13,92.64287499999999,-21.866994444444444,2.05359e-13,3.2382315846882777
1,0.69,21.8,1.5315,0.2496,2.5989999999999998,2.2e-12,2.34e-13,1.4400000000000001e-12,1.77e-13,1.0944,0.1784,0.556,2.58e-12,2.75E-13,2.36E-12,2.91E-13,40.644674,-21.545273,9.39,3998,92.5,119.5,1080.0,1062.8,0.38,2.72,2RXS,J024235.9-213229,40.64968,-21.5414,9.35,-64.12764,-35.303020000000004,116.65,81.14,10.009633000000001,0.2318,0.0286,350.04,0.826,0.081,0.102,0.09300000000000001,378,2.98, 2CXO J024235.9-213226, 02 42 35.94,-21 32 26.07,1.047e-13,9.612e-14,1.132e-13,1.309e-13,1.204e-13,1.415e-13,40.64975,-21.540575,2.3560000000000003e-13,6.112054329371817
1,0.56,17.3,0.6392,0.2077,1.1886,1.4300000000000002e-13,2.16e-14,2.2399999999999998e-13,6.45e-14,0.0,0,0,0.0,0,0,0,11.767727,-20.791493,6.63,5766,68.5,103.9,10206.4,10408.5,2.03,1.55,2RXS,J004704.7-204744,11.76999,-20.79581,7.83,-83.59007,-23.67795,24.23,17.28,4.974361,0.0512,0.0147,337.43,1.0,0.282,0.121,0.233,388,12.81, 2CXO J004703.8-204744, 00 47 03.89,-20 47 44.04,4.336e-15,2.168e-15,6.504e-15,1.426e-13,1.286e-13,1.557e-13,11.766208333333331,-20.79556666666667,1.46936e-13,1.5244732400500898
1,0.86,27.4,1.0063,0.2383,0.0266,6.36e-13,9.56e-14,6.32e-13,1.1599999999999999e-13,0.7837,0.1856,0.9941,7.92e-13,1.19E-13,1.01E-12,1.85E-13,357.011341,-16.526369,6.65,2077,48.9,55.9,1818.0,1838.5,6.67,2.1,2RXS,J234802.3-163108,357.00977,-16.51891,10.55,-71.89095,-13.9441,59.81,35.42,6.479679,0.1193,0.0218,296.83,0.5539999999999999,0.172,0.079,0.19,443,5.6, 2CXO J234802.6-163111, 23 48 02.62,-16 31 11.99,6.153e-13,5.960e-13,6.346e-13,7.534e-13,7.304e-13,7.749e-13,357.0109166666667,-16.519997222222223,1.3687e-12,0.46175202747132316
1,1.36,100.0,0.1417,0.0665,4.8035,9.97e-14,4.37e-14,7.03e-13,1.18e-13,0.1636,0.0768,4.5896,1.01e-14,4.45E-15,6.20E-14,1.04E-14,355.98571699999997,-15.294534,2.28,2294,8.8,6.6,2035.9,2059.9,3.71,1.95,2RXS,J234350.0-151707,355.95847000000003,-15.28554,10.24,-70.32807,-12.405669999999999,69.15,43.98,7.367307,0.1392,0.0233,316.06,-0.9520000000000001,0.09699999999999999,-1.0,1.6380000000000001,460,8.95, 2CXO J234349.4-151704, 23 43 49.46,-15 17 04.44,1.622e-15,1.235e-15,1.985e-15,6.924e-15,6.210e-15,7.639e-15,355.95608333333325,-15.284566666666667,8.546e-15,82.26070676339809
1,0.47,24.2,0.9217,0.3423,0.217,3.63e-13,8.31e-14,3.9399999999999994e-13,1.15e-13,0.7421,0.2756,0.7625,3.9e-13,8.92E-14,5.25E-13,1.54E-13,329.5236,-15.029998999999998,4.37,2006,25.1,26.9,1939.5,1957.3,0.84,3.73,2RXS,J215804.5-150129,329.51917000000003,-15.02481,30.87,-48.01848,-2.46279,12.27,17.3,5.059572,0.0536,0.0157,322.8,0.7659999999999999,0.16,0.45299999999999996,0.17800000000000002,463,31.6, 2CXO J215806.2-150109, 21 58 06.29,-15 01 09.29,2.002e-13,1.921e-13,2.078e-13,2.422e-13,2.327e-13,2.511e-13,329.5262083333333,-15.019247222222223,4.424e-13,0.8905967450271246
